gameID,season,position,player,handedness,opponent,controller,runs,balls_faced,dismissal,bowler,fours,sixes,fow,sr,pct_runs_boundaries
1,1,1,J. Raval,left,Ireland,AA,35,56,caught_behind,K. O'Brien,6,0,97,62.50,68.57
1,1,2,T. Latham,left,Ireland,RM,25,28,run_out,,4,0,46,89.29,64.00
1,1,3,K. Williamson,right,Ireland,RM,19,21,caught_slip,B. Rankin,2,0,79,90.48,42.11
1,1,4,R. Taylor,right,Ireland,RM,13,25,run_out,,1,0,97,52.00,30.77
1,1,5,H. Nicholls,left,Ireland,AA,25,53,caught_behind,G. Dockrell,3,0,189,47.17,48.00
1,1,6,B. Watling,right,Ireland,RM,99,101,caught_behind,T. Murtagh,15,0,241,98.02,60.61
1,1,7,C. de Grandhomme,right,Ireland,AA,27,48,caught_point,B. Rankin,5,0,258,56.25,74.07
1,1,8,M. Santner,left,Ireland,RM,24,42,caught_behind,T. Murtagh,3,0,315,57.14,50.00
1,1,9,T. Southee,right,Ireland,AA,59,60,not_out,,8,0,,98.33,54.24
1,1,10,N. Wagner,left,Ireland,RM,4,7,caught_behind,T. Murtagh,1,0,335,57.14,100.00
1,1,11,T. Boult,right,Ireland,RM,14,10,caught_behind,C. Young,2,0,361,140.00,57.14
1,1,0,Extras,,Ireland,,17,,,,,,,0.00,#N/A
2,1,1,J. Raval,left,Zimbabwe,AA,6,22,caught_behind,C. Mumba,0,0,22,27.27,0.00
2,1,2,T. Latham,left,Zimbabwe,RM,37,61,caught_behind,G. Cremer,6,0,75,60.66,64.86
2,1,3,K. Williamson,right,Zimbabwe,AA,44,63,caught_behind,C. Mpofu,5,0,118,69.84,45.45
2,1,4,R. Taylor,right,Zimbabwe,RM,76,71,caught_behind,C. Mpofu,10,0,204,107.04,52.63
2,1,5,H. Nicholls,left,Zimbabwe,AA,8,18,caught,G. Cremer,1,0,133,44.44,50.00
2,1,6,B. Watling,right,Zimbabwe,AA,34,56,caught_bowler,C. Mpofu,4,0,235,60.71,47.06
2,1,7,C. de Grandhomme,right,Zimbabwe,RM,20,28,caught_behind,M. Waller,3,0,227,71.43,60.00
2,1,8,M. Santner,left,Zimbabwe,RM,5,8,caught_behind,M. Waller,1,0,235,62.50,80.00
2,1,9,T. Southee,right,Zimbabwe,RM,3,7,caught_behind,M. Waller,0,0,239,42.86,0.00
2,1,10,N. Wagner,left,Zimbabwe,AA,26,69,not_out,,2,0,,37.68,30.77
2,1,11,T. Boult,right,Zimbabwe,RM,51,61,caught_behind,D. Tiripano,6,0,318,83.61,47.06
2,1,0,Extras,,Zimbabwe,,8,,,,,,,0.00,#N/A
3,1,1,J. Raval,left,Afghanistan,AA,3,12,caught_behind,D. Zadran,0,0,14,25.00,0.00
3,1,2,T. Latham,left,Afghanistan,RM,3,7,run_out,,0,0,6,42.86,0.00
3,1,3,K. Williamson,right,Afghanistan,RM,5,4,caught_behind,Y. Ahmadzai,1,0,11,125.00,80.00
3,1,4,R. Taylor,right,Afghanistan,RM,16,21,run_out,,2,0,38,76.19,50.00
3,1,5,H. Nicholls,left,Afghanistan,AA,77,162,caught_behind,M. Nabi,12,0,161,47.53,62.34
3,1,6,B. Watling,right,Afghanistan,RM,24,81,caught_behind,D. Zadran,1,0,110,29.63,16.67
3,1,7,C. de Grandhomme,right,Afghanistan,RM,47,79,caught_bowler,D. Zadran,7,0,196,59.49,59.57
3,1,8,M. Santner,left,Afghanistan,AA,60,131,caught_behind,D. Zadran,5,0,270,45.80,33.33
3,1,9,T. Southee,right,Afghanistan,RM,19,64,caught_behind,M. Ashraf,2,0,249,29.69,42.11
3,1,10,N. Wagner,left,Afghanistan,RM,1,5,caught_behind,M. Nabi,0,0,250,20.00,0.00
3,1,11,T. Boult,right,Afghanistan,RM,5,24,not_out,,0,0,,20.83,0.00
3,1,0,Extras,,Afghanistan,,10,,,,,,,0.00,#N/A
4,1,1,J. Raval,left,Bangladesh,AA,3,9,bowled,T. Ahmed,0,0,3,33.33,0.00
4,1,2,T. Latham,left,Bangladesh,RM,43,85,caught_behind,M. Rahman,7,0,103,50.59,65.12
4,1,3,K. Williamson,right,Bangladesh,AA,51,85,caught_behind,T. Ahmed,5,0,90,60.00,39.22
4,1,4,R. Taylor,right,Bangladesh,AA,0,5,lbw,T. Ahmed,0,0,90,0.00,0.00
4,1,5,H. Nicholls,left,Bangladesh,AA,78,117,bowled,S. Roy,12,0,231,66.67,61.54
4,1,6,B. Watling,right,Bangladesh,RM,2,15,bowled,M. Rahman,0,0,112,13.33,0.00
4,1,7,C. de Grandhomme,right,Bangladesh,RM,19,52,run_out,,2,0,168,36.54,42.11
4,1,8,M. Santner,left,Bangladesh,RM,80,100,run_out,,12,0,303,80.00,60.00
4,1,9,T. Southee,right,Bangladesh,AA,12,40,bowled,S. Roy,2,0,288,30.00,66.67
4,1,10,N. Wagner,left,Bangladesh,AA,6,14,not_out,,0,0,,42.86,0.00
4,1,11,T. Boult,right,Bangladesh,RM,4,3,lbw,S. Roy,1,0,308,133.33,100.00
4,1,0,Extras,,Bangladesh,,10,,,,,,,0.00,#N/A
5,1,1,J. Raval,left,West Indies,AA,17,56,caught_fine_leg,S. Gabriel,1,0,53,30.36,23.53
5,1,2,T. Latham,left,West Indies,RM,60,72,caught_short_leg,D. Bishoo,10,0,98,83.33,66.67
5,1,3,K. Williamson,right,West Indies,AA,59,89,caught_behind,A. Joseph,8,0,184,66.29,54.24
5,1,4,R. Taylor,right,West Indies,RM,2,6,run_out,,0,0,101,33.33,0.00
5,1,5,H. Nicholls,left,West Indies,RM,6,17,caught_behind,D. Bishoo,1,0,110,35.29,66.67
5,1,6,B. Watling,right,West Indies,RM,47,62,caught_gully,S. Gabriel,7,0,211,75.81,59.57
5,1,7,C. de Grandhomme,right,West Indies,AA,29,40,run_out,,5,0,231,72.50,68.97
